8.113683911663392e-27	5.950387381646756e-26	1.7322819797235418e-25
3.8733533076022385e-26	2.7609083918608366e-25	8.409704679940648e-25
7.749830231473633e-26	5.21764056793995e-25	1.6461229024934965e-24
1.1108057323524676e-25	7.122656461181744e-25	2.3016624723339796e-24
1.3746891202546163e-25	8.485476041168809e-25	2.786860540316597e-24
1.5747837175933573e-25	9.44201082670333e-25	3.1360682103626203e-24
1.726779388071032e-25	1.0124734401506798e-24	3.389837244279449e-24
1.8430630455298063e-25	1.0620797794833389e-24	3.576805249245705e-24
1.9333468976246147e-25	1.098995376174664e-24	3.71739488088533e-24
2.0043616241957143e-25	1.1270072539459607e-24	3.8249736402593476e-24
2.0610496779054404e-25	1.1487014433089192e-24	3.908831675904097e-24
2.106864038096965e-25	1.1657812637528617e-24	3.975211254107547e-24
2.1443615003061495e-25	1.179449682541984e-24	4.028561339956033e-24
2.1753790446407017e-25	1.1905345572272666e-24	4.0719869377646375e-24
2.2013073292406556e-25	1.1996420734790211e-24	4.107772585420673e-24
2.223175079088058e-25	1.2072059309921712e-24	4.137570389851625e-24
